VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
137,Joe Jimenez ,56.9,71,4,4,3.79,1.23,24,46,21,7,58,0,2,0,0.03,0.04,0.02,6164,ATL 
138,James Karinchak ,56.7,77,2,2,3.32,1.23,21,40,28,6,55,0,2,0,0.19,0.33,0.04,9938,CLE 
139,Daniel Hudson ,44.5,53,3,10,3.68,1.20,18,37,14,5,45,0,2,0,0.08,0.08,0.08,3254,LAD 
140,Craig Kimbrel ,55.1,67,2,11,3.78,1.29,23,44,24,6,57,0,2,0,0.44,0.65,0.23,3238,PHI 
141,Jorge Lopez ,64.8,62,3,18,4.19,1.38,30,63,23,7,59,0,3,0,0.47,0.7,0.25,5858,MIN 
142,Andrew Chafin ,56.3,59,2,7,3.36,1.27,21,50,18,5,60,0,2,0,0.13,0.21,0.04,4797,ARI 
143,Brayan Bello ,100.3,93,8,0,4.12,1.39,46,98,36,9,22,20,8,0,0.06,0.09,0.03,44932,BOS 
144,Trevor May ,56.3,63,2,14,4.02,1.30,25,51,20,7,58,0,2,0,0.06,0.09,0.02,4746,OAK 
145,Erik Swanson ,56.9,63,2,2,3.65,1.13,23,49,14,7,55,0,2,0,0.05,0.09,0.01,6455,TOR 
146,Matthew Boyd ,122.8,109,5,0,4.35,1.32,59,118,38,18,23,20,10,0,0.06,0.04,0.08,5003,DET 
147,Hector Neris ,58.2,68,2,2,3.49,1.21,23,48,20,7,59,0,2,0,0.09,0.14,0.03,5544,HOU 
148,Chris Martin ,54.8,58,2,2,3.49,1.15,21,52,9,7,57,0,2,0,0.02,0.03,0.01,5477,BOS 
149,Diego Castillo ,56.2,57,2,4,3.45,1.21,22,46,19,6,57,0,2,0,0.05,0.09,0.01,7847,SEA 
150,Edward Cabrera ,120.0,126,5,0,4.20,1.40,56,108,53,15,23,24,10,0,0.47,0.74,0.2,39222,MIA 
151,Ken Waldichuk ,110.0,110,4,0,4.21,1.34,52,99,42,14,28,22,9,0,0.01,0.01,0.01,44904,OAK 
152,Dylan Floro ,55.8,48,2,13,3.78,1.30,23,55,16,5,57,0,2,0,0.18,0.24,0.11,6430,MIA 
153,John Schreiber ,59.3,63,2,5,3.48,1.29,23,54,20,5,58,0,2,0,0.08,0.1,0.06,10132,BOS 
154,Kyle Bradish ,132.3,121,5,0,4.33,1.37,64,128,48,17,25,26,11,0,0.05,0.08,0.02,39964,BAL 
155,Yusei Kikuchi ,103.5,109,8,0,4.41,1.40,51,97,44,16,27,17,8,0,0.19,0.27,0.11,7015,TOR 
156,Clarke Schmidt ,107.5,100,4,0,4.11,1.35,49,101,38,13,28,17,4,0,0.26,0.43,0.08,7264,NYY 
157,Matt Brash ,55.4,70,2,2,3.30,1.29,20,43,26,4,53,0,2,0,0.03,0.04,0.02,44295,SEA 
158,James Paxton ,101.3,99,8,0,4.55,1.35,51,98,36,15,23,20,8,0,0.02,0.02,0.01,4559,BOS 
159,Jose Alvarado ,53.3,72,2,4,3.25,1.35,19,40,28,3,57,0,2,0,0.06,0.1,0.03,6550,PHI 
160,Noah Syndergaard ,132.2,98,11,0,4.72,1.36,69,141,34,18,25,28,6,0,0.45,0.59,0.31,4589,LAD 
161,Zach Plesac ,127.8,91,5,0,4.41,1.30,63,128,34,19,22,20,10,0,0.04,0.05,0.02,18288,CLE 
162,Caleb Thielbar ,54.9,66,2,0,3.50,1.19,21,46,18,6,54,0,2,0,0.04,0.06,0.02,5363,MIN 
163,Jared Shuster ,86.3,73,7,0,4.34,1.30,42,84,26,13,15,14,7,0,0.13,0.2,0.06,43875,ATL 
164,Hayden Wesneski ,106.8,89,4,0,4.21,1.31,50,102,33,14,21,21,9,0,0.36,0.57,0.15,44900,CHC 
165,Ron Marinaccio ,53.3,66,2,2,3.45,1.24,20,40,23,5,50,0,0,0,0.1,0.16,0.05,45015,NYY 
166,Aaron Bummer ,51.0,52,2,2,2.93,1.27,17,43,20,3,53,0,2,0,0.01,0.01,0.01,7028,CWS 
167,Brooks Raley ,52.0,58,2,6,3.66,1.24,21,44,18,6,51,0,2,0,0.09,0.12,0.06,5362,NYM 
168,Joe Kelly ,54.1,61,2,4,3.35,1.29,20,44,23,4,57,0,2,0,0.0,0.0,0.0,4652,CWS 
169,Tyler Wells ,88.8,75,4,0,4.25,1.25,42,83,25,13,34,14,7,0,0.01,0.01,0.01,44081,BAL 
170,Kyle Gibson ,161.0,125,6,0,4.43,1.38,79,163,52,20,28,26,13,0,0.07,0.09,0.04,3655,BAL 
171,Michael Fulmer ,60.0,57,2,14,4.02,1.36,27,58,21,6,57,0,2,0,0.21,0.37,0.05,5878,CHC 
172,Tanner Houck ,78.3,79,3,3,3.85,1.35,34,73,28,7,38,9,3,0,0.07,0.1,0.04,6987,BOS 
173,Jovani Moran ,53.0,69,2,0,3.18,1.28,19,40,26,3,47,0,2,0,0.0,0.0,0.0,44290,MIN 
174,Bryan Abreu ,57.7,74,2,2,3.38,1.33,22,45,28,4,55,0,2,0,0.07,0.1,0.04,8384,HOU 
175,Collin McHugh ,56.8,62,2,0,3.50,1.21,22,51,15,6,51,0,2,0,0.08,0.12,0.03,4601,ATL 
176,Carlos Estevez ,58.5,59,2,14,4.21,1.34,27,56,20,7,60,0,2,0,0.11,0.17,0.04,5929,LAA 
177,Scott McGough ,55.8,62,2,11,4.02,1.33,25,51,21,7,56,0,2,0,0.14,0.27,0.02,5826,ARI 
178,Drew Smith ,53.6,58,2,2,3.55,1.21,21,45,17,7,52,0,2,0,0.02,0.03,0.01,7141,NYM 
179,Jose Suarez ,130.5,113,5,0,4.41,1.36,64,128,42,17,25,26,10,0,0.02,0.03,0.02,7919,LAA 
180,Daniel Bard ,56.5,63,2,23,4.41,1.51,28,53,29,6,56,0,2,0,0.61,0.78,0.43,3251,COL 
181,Seth Lugo ,90.8,87,4,0,4.17,1.32,42,87,29,12,38,11,4,0,0.15,0.18,0.13,5890,SD 
182,Dany Jimenez ,56.7,62,2,9,3.92,1.32,25,47,26,7,55,0,2,0,0.17,0.28,0.06,40917,OAK 
183,Brandon Pfaadt ,80.5,77,3,0,4.17,1.25,37,77,20,11,16,13,3,0,0.05,0.09,0.02,44436,ARI 
184,Michael Kopech ,130.3,127,5,0,4.46,1.38,65,118,54,20,30,26,10,0,0.27,0.27,0.27,6023,CWS 
185,Dylan Coleman ,60.3,63,2,5,3.58,1.33,24,50,27,5,58,0,2,0,0.0,0.0,0.0,44024,KC 
186,Paul Blackburn ,128.5,90,5,0,4.31,1.34,62,130,36,15,23,21,10,0,0.01,0.01,0.0,6440,OAK 
187,Michael Soroka ,82.0,61,3,0,3.84,1.28,35,80,21,8,32,13,3,0,0.11,0.17,0.05,6950,ATL 
188,Cole Irvin ,160.6,116,7,0,4.59,1.36,82,174,37,24,30,27,13,0,0.04,0.04,0.05,7588,BAL 
189,Josiah Gray ,147.8,145,6,0,4.72,1.37,78,136,59,27,27,30,12,0,0.07,0.09,0.05,8218,WSH 
190,JT Brubaker ,127.3,116,5,0,4.39,1.38,62,126,42,17,23,25,10,0,0.01,0.0,0.01,8152,PIT 
191,Kendall Graveman ,58.0,56,2,12,3.95,1.37,25,55,21,7,57,0,2,0,0.26,0.31,0.22,5569,CWS 
192,Peter Strzelecki ,60.1,68,2,0,3.70,1.24,25,50,21,8,56,0,2,0,0.01,0.01,0.0,46153,MIL 
193,Colin Poche ,51.5,59,2,2,3.66,1.21,21,41,19,7,53,0,2,0,0.05,0.1,0.01,8278,TB 
194,Drew Smyly ,113.5,101,5,0,4.50,1.33,57,113,34,18,30,18,9,0,0.01,0.02,0.01,4482,CHC 
195,Emilio Pagan ,59.5,68,2,0,3.94,1.19,26,51,18,9,58,0,2,0,0.0,0.0,0.0,7143,MIN 
196,Tanner Scott ,57.5,70,2,7,3.57,1.42,23,47,31,4,59,0,2,0,0.02,0.04,0.01,7328,MIA 
197,Spencer Turnbull ,112.0,93,4,0,4.15,1.37,52,108,39,11,25,18,9,0,0.03,0.04,0.02,7850,DET 
198,Adbert Alzolay ,60.0,66,2,5,3.99,1.28,27,54,20,8,50,0,2,0,0.01,0.02,0.01,7380,CHC 
199,Cody Morris ,58.0,65,2,0,3.63,1.25,23,49,21,7,39,4,2,0,0.0,0.0,0.0,44886,CLE 
200,Reynaldo Lopez ,55.3,54,2,7,4.03,1.25,25,51,16,7,50,0,2,0,0.27,0.46,0.08,6012,CWS 
201,Matt Bush ,56.7,64,2,2,3.83,1.24,24,47,20,8,59,0,2,0,0.06,0.1,0.01,4077,MIL 
202,Penn Murfee ,57.5,60,2,0,3.67,1.22,23,49,18,7,54,0,2,0,0.01,0.01,0.0,44017,SEA 
203,JP Sears ,98.3,83,4,0,4.23,1.33,46,94,32,13,27,16,8,0,0.01,0.02,0.01,7334,OAK 
204,Dean Kremer ,134.3,103,5,0,4.42,1.36,66,135,41,17,24,21,11,0,0.02,0.03,0.01,7918,BAL 
205,Yonny Chirinos ,70.8,56,3,3,4.05,1.27,32,69,18,10,32,8,3,0,0.0,0.0,0.0,7665,TB 
206,Caleb Ferguson ,49.4,55,2,2,3.39,1.27,19,41,19,5,51,0,2,0,0.01,0.01,0.0,7912,LAD 
207,Garrett Cleavinger ,51.2,69,2,0,3.38,1.31,19,38,26,5,50,0,2,0,0.0,0.0,0.0,39173,TB 
208,Joe Mantiply ,55.5,53,2,4,3.72,1.27,23,54,15,5,59,0,2,0,0.01,0.02,0.0,6502,ARI 
